CustomerID,Age,Gender,Location,JoinDate,TenureMonths,ContractType,PaymentMethod,MonthlyCharge,TotalCharges,DataUsageGB,CallMinutes,SupportTickets,HasInternet,HasPhone,TechSupport,Streaming,Churn
CUST04871,58.0,Male,Mumbai,2020-07-21 23:00:00,40,Two Year,Cash,61.95,2300.32,6.9,158,3,Yes,Yes,No,No,0
CUST01025,47.0,Female,Chennai,2020-02-12 17:00:00,20,Two Year,Bank Transfer,27.2,616.54,2.8,219,1,Yes,Yes,No,No,0
CUST03192,69.0,Male,Delhi,2020-05-13 00:00:00,25,One Year,Cash,75.07,1748.08,3.7,344,0,Yes,Yes,No,No,0
CUST02894,48.0,Female,Bangalore,2020-04-30 14:00:00,20,Two Year,Credit Card,65.81,1295.69,2.3,313,2,Yes,Yes,Yes,Yes,0
CUST04392,45.0,Male,Mumbai,2020-07-02 00:00:00,36,Month-to-Month,Credit Card,88.15,3046.09,3.8,277,1,Yes,Yes,No,No,0
CUST04401,54.0,Female,Chennai,2020-07-02 09:00:00,4,One Year,Cash,,84.22,27.0,306,2,Yes,Yes,No,No,0
CUST02417,46.0,Male,Hyderabad,2020-04-10 17:00:00,6,Month-to-Month,Digital Wallet,52.53,353.8,0.9,72,2,Yes,Yes,Yes,Yes,0
CUST01095,41.0,Female,Mumbai,2020-02-15 15:00:00,16,One Year,Bank Transfer,103.93,1435.97,6.4,451,2,Yes,Yes,No,Yes,0
CUST04457,26.0,Male,Mumbai,2020-07-04 17:00:00,14,Two Year,Cash,20.0,284.71,29.2,262,2,Yes,Yes,No,Yes,0
CUST00705,49.0,Male,Delhi,2020-01-30 09:00:00,21,One Year,Credit Card,83.56,1525.05,5.4,514,3,Yes,Yes,Yes,Yes,0
CUST02374,55.0,Female,Mumbai,2020-04-08 22:00:00,72,Month-to-Month,Cash,58.04,4074.96,5.7,197,1,Yes,Yes,Yes,No,0
CUST00530,49.0,Male,Chennai,2020-01-23 02:00:00,72,Two Year,Cash,31.76,2330.56,7.0,337,2,Yes,Yes,No,No,1
CUST00800,53.0,Male,Hyderabad,2020-02-03 08:00:00,7,Month-to-Month,Bank Transfer,94.0,693.98,9.4,159,1,No,Yes,No,No,1
CUST04522,47.0,Male,Bangalore,2020-07-07 10:00:00,4,Two Year,Credit Card,77.62,332.2,4.6,112,0,Yes,Yes,No,No,0
CUST01456,51.0,Female,Delhi,2020-03-01 16:00:00,28,Month-to-Month,Credit Card,141.95,3803.85,14.9,408,3,Yes,Yes,No,Yes,1
CUST01391,33.0,Female,Bangalore,2020-02-27 23:00:00,10,Month-to-Month,Bank Transfer,24.07,215.69,7.4,151,1,Yes,Yes,No,No,0
CUST03646,45.0,Female,Mumbai,2020-05-31 22:00:00,28,One Year,Digital Wallet,87.91,2433.77,24.5,253,0,No,Yes,Yes,Yes,0
CUST03196,50.0,Female,Bangalore,2020-05-13 04:00:00,9,One Year,Credit Card,85.16,810.71,2.8,129,1,Yes,Yes,No,No,0
CUST02671,48.0,Male,Mumbai,2020-04-21 07:00:00,10,One Year,Digital Wallet,93.11,983.72,18.5,479,1,Yes,Yes,Yes,No,0
CUST04464,35.0,Male,Chennai,2020-07-05 00:00:00,24,Month-to-Month,Cash,33.62,881.83,10.6,347,0,No,Yes,Yes,Yes,0
CUST00065,58.0,Male,Hyderabad,2020-01-03 17:00:00,40,Month-to-Month,Digital Wallet,62.45,2386.26,30.8,205,1,Yes,Yes,Yes,Yes,0
CUST00157,47.0,Male,Delhi,2020-01-07 13:00:00,10,Month-to-Month,Credit Card,33.34,296.79,,384,1,Yes,Yes,No,No,0
CUST03268,44.0,Male,Delhi,2020-05-16 04:00:00,1,Month-to-Month,Digital Wallet,98.14,97.96,,204,1,No,Yes,Yes,No,0
CUST04099,42.0,Female,Bangalore,2020-06-19 19:00:00,37,Two Year,Digital Wallet,93.58,3484.66,,380,0,Yes,Yes,No,No,0
CUST00626,30.0,Female,Bangalore,2020-01-27 02:00:00,6,One Year,Bank Transfer,76.88,419.0,2.1,490,0,Yes,Yes,Yes,Yes,0
CUST01965,43.0,Female,Bangalore,2020-03-22 21:00:00,7,Two Year,Digital Wallet,20.0,155.87,17.9,310,2,Yes,Yes,Yes,Yes,0
CUST01438,47.0,Female,Hyderabad,2020-02-29 22:00:00,11,One Year,Digital Wallet,35.96,376.3,1.6,346,1,Yes,No,No,Yes,0
CUST02240,43.0,Female,Delhi,2020-04-03 08:00:00,7,Month-to-Month,Digital Wallet,130.97,1016.48,0.9,218,2,Yes,Yes,No,No,0
CUST03011,57.0,Male,Bangalore,2020-05-05 11:00:00,26,One Year,Credit Card,68.63,1662.07,8.3,497,2,Yes,Yes,Yes,Yes,0
CUST03903,30.0,Female,Bangalore,2020-06-11 15:00:00,8,Two Year,Digital Wallet,27.39,237.69,5.5,329,1,No,Yes,Yes,Yes,0
CUST03515,47.0,Female,Bangalore,2020-05-26 11:00:00,30,Two Year,Digital Wallet,65.46,1826.1,12.4,525,0,Yes,Yes,No,Yes,0
CUST00642,38.0,Female,Delhi,2020-01-27 18:00:00,7,Month-to-Month,Bank Transfer,69.39,546.4,11.5,188,2,Yes,Yes,No,No,1
CUST01926,18.0,Female,Bangalore,2020-03-21 06:00:00,19,Month-to-Month,Bank Transfer,85.85,1751.89,9.3,81,0,No,Yes,Yes,No,1
CUST02187,38.0,Male,Delhi,2020-04-01 03:00:00,13,Month-to-Month,Credit Card,64.98,780.7,0.5,223,0,Yes,Yes,Yes,No,0
CUST00683,47.0,Female,Delhi,2020-01-29 11:00:00,13,One Year,Digital Wallet,440.0229967094062,1388.83,,472,5,No,Yes,Yes,No,1
CUST00676,28.0,Male,Mumbai,2020-01-29 04:00:00,2,Two Year,Bank Transfer,51.27,117.22,2.0,509,1,No,Yes,No,Yes,0
CUST01894,40.0,Male,Delhi,2020-03-19 22:00:00,34,Two Year,Bank Transfer,25.0,769.5,0.9,507,1,No,Yes,No,Yes,0
CUST01876,35.0,Female,Hyderabad,2020-03-19 04:00:00,2,Month-to-Month,Digital Wallet,48.66,89.0,0.2,221,1,Yes,Yes,No,Yes,0
CUST01057,56.0,Female,Bangalore,2020-02-14 01:00:00,37,Month-to-Month,Cash,77.37,3283.29,6.5,300,0,Yes,Yes,No,Yes,1
CUST04095,29.0,Male,Bangalore,2020-06-19 15:00:00,17,Month-to-Month,Cash,63.0,1170.71,1.1,369,1,Yes,Yes,Yes,No,1
CUST02746,44.0,Male,Bangalore,2020-04-24 10:00:00,26,Month-to-Month,Credit Card,56.66,1629.66,13.2,375,0,Yes,Yes,No,No,0
CUST02834,,Female,Delhi,2020-04-28 02:00:00,21,Month-to-Month,Credit Card,67.96,1521.8,9.4,470,1,Yes,Yes,No,Yes,1
CUST04424,31.0,Female,Bangalore,2020-07-03 08:00:00,12,Two Year,Cash,73.03,1004.74,1.6,155,2,Yes,Yes,Yes,No,1
CUST00296,52.0,Female,Chennai,2020-01-13 08:00:00,13,Month-to-Month,Bank Transfer,85.52,1157.49,1.5,356,2,Yes,Yes,Yes,Yes,0
CUST03745,39.0,Male,Hyderabad,2020-06-05 01:00:00,11,One Year,Digital Wallet,104.96,1207.57,0.3,84,3,Yes,Yes,Yes,Yes,1
CUST03601,33.0,Male,Delhi,2020-05-30 01:00:00,22,Two Year,Digital Wallet,53.88,1276.77,11.4,119,0,Yes,Yes,No,Yes,0
CUST04696,48.0,Female,Delhi,2020-07-14 16:00:00,14,Month-to-Month,Digital Wallet,47.14,697.67,10.2,314,0,Yes,Yes,Yes,No,1
CUST04203,30.0,Male,Bangalore,2020-06-24 03:00:00,26,Two Year,Digital Wallet,60.71,1628.18,5.4,300,3,Yes,Yes,Yes,Yes,0
CUST02380,30.0,Male,Delhi,2020-04-09 04:00:00,3,One Year,Credit Card,101.66,274.5,1.4,360,0,Yes,Yes,No,Yes,0
CUST01255,27.0,Female,Mumbai,2020-02-22 07:00:00,24,One Year,Bank Transfer,64.9,1707.04,3.9,379,0,Yes,Yes,No,Yes,0
CUST00168,39.0,Female,Chennai,2020-01-08 00:00:00,37,One Year,Credit Card,90.63,3150.56,29.6,306,1,Yes,Yes,Yes,No,0
CUST02874,41.0,Female,Bangalore,2020-04-29 18:00:00,32,One Year,Cash,80.86,2281.2,18.3,145,1,Yes,Yes,No,No,0
CUST00029,38.0,Male,Chennai,2020-01-02 05:00:00,26,Month-to-Month,Bank Transfer,58.41,1463.97,9.6,160,1,No,Yes,No,No,0
CUST01747,48.0,Male,Chennai,2020-03-13 19:00:00,19,Month-to-Month,Credit Card,56.29,974.1,13.0,207,2,No,Yes,Yes,No,1
CUST04980,,Male,Delhi,2020-07-26 12:00:00,7,Month-to-Month,Credit Card,101.4,704.08,24.4,0,1,Yes,Yes,No,Yes,0
CUST03887,40.0,Female,Hyderabad,2020-06-10 23:00:00,43,Month-to-Month,Digital Wallet,28.24,1043.87,10.8,246,0,Yes,Yes,Yes,Yes,0
CUST02111,40.0,Female,Hyderabad,2020-03-28 23:00:00,27,Month-to-Month,Credit Card,81.55,2219.99,0.3,451,1,Yes,Yes,Yes,Yes,0
CUST04812,49.0,Female,Chennai,2020-07-19 12:00:00,3,Month-to-Month,Digital Wallet,52.25,170.78,0.7,148,0,Yes,Yes,No,No,0
CUST02809,35.0,Female,Mumbai,2020-04-27 01:00:00,72,Two Year,Bank Transfer,110.72,7303.22,14.8,100,1,Yes,Yes,No,No,0
CUST02101,31.0,Female,Mumbai,2020-03-28 13:00:00,4,Month-to-Month,Credit Card,47.76,186.69,,386,2,Yes,Yes,Yes,Yes,0
CUST01010,57.0,Male,Bangalore,2020-02-12 02:00:00,10,Month-to-Month,Credit Card,116.06,1222.69,9.0,261,3,Yes,No,Yes,Yes,1
CUST04290,48.0,Male,Mumbai,2020-06-27 18:00:00,27,Month-to-Month,Bank Transfer,74.12,2041.57,0.0,210,3,No,Yes,Yes,Yes,1
CUST00544,18.0,Female,Mumbai,2020-01-23 16:00:00,65,One Year,Bank Transfer,35.04,2480.09,33.9,221,1,Yes,Yes,No,Yes,0
CUST01741,39.0,Male,Hyderabad,2020-03-13 13:00:00,25,One Year,Cash,97.34,2489.83,8.5,288,0,Yes,Yes,No,No,0
CUST03728,27.0,Female,Delhi,2020-06-04 08:00:00,31,One Year,Digital Wallet,82.17,2707.75,2.8,307,3,Yes,Yes,No,No,0
CUST04813,32.0,Male,Chennai,2020-07-19 13:00:00,28,Month-to-Month,Cash,121.75,3230.84,7.7,286,2,Yes,Yes,No,Yes,1
CUST01717,44.0,Male,Chennai,2020-03-12 13:00:00,1,One Year,Credit Card,20.0,19.76,6.0,184,1,Yes,Yes,No,Yes,0
CUST00994,29.0,Female,Delhi,2020-02-11 10:00:00,14,Two Year,Digital Wallet,,1790.13,13.1,325,0,Yes,No,No,No,0
CUST03983,28.0,Male,Chennai,2020-06-14 23:00:00,6,Two Year,Bank Transfer,78.75,527.65,16.4,139,3,Yes,Yes,No,Yes,0
CUST02796,48.0,Female,Bangalore,2020-04-26 12:00:00,16,One Year,Credit Card,44.07,809.34,,400,2,Yes,Yes,Yes,No,0
CUST04056,59.0,Male,Mumbai,2020-06-18 00:00:00,68,One Year,Digital Wallet,64.23,3952.44,1.9,362,3,Yes,Yes,No,No,0
CUST00023,24.0,Female,Chennai,2020-01-01 23:00:00,12,Month-to-Month,Cash,82.02,962.21,12.6,260,0,Yes,Yes,Yes,No,1
CUST00949,44.0,Female,Bangalore,2020-02-09 13:00:00,35,One Year,Credit Card,44.11,1349.91,2.0,108,2,Yes,Yes,Yes,No,0
CUST00240,32.0,Male,Bangalore,2020-01-11 00:00:00,21,Two Year,Digital Wallet,140.33,2670.33,3.7,256,1,Yes,Yes,No,Yes,1
CUST01554,39.0,Male,Bangalore,2020-03-05 18:00:00,3,Month-to-Month,Credit Card,53.58,144.2,21.7,179,1,Yes,Yes,Yes,Yes,1
CUST01434,39.0,Male,Delhi,2020-02-29 18:00:00,1,Month-to-Month,Digital Wallet,48.84,41.94,2.4,68,2,Yes,Yes,No,No,0
CUST01670,39.0,Female,Delhi,2020-03-10 14:00:00,34,One Year,Cash,20.0,746.3,5.9,315,0,Yes,Yes,Yes,Yes,0
CUST00485,24.0,Female,Bangalore,2020-01-21 05:00:00,1,Two Year,Bank Transfer,51.55,55.66,13.6,204,3,Yes,Yes,No,No,1
CUST03427,58.0,Female,Mumbai,2020-05-22 19:00:00,11,Month-to-Month,Credit Card,68.54,786.19,18.4,59,0,Yes,Yes,No,Yes,0
CUST03648,51.0,Male,Bangalore,2020-06-01 00:00:00,48,One Year,Bank Transfer,64.83,2657.28,0.2,167,1,Yes,Yes,No,Yes,0
CUST04269,53.0,Female,Chennai,2020-06-26 21:00:00,23,One Year,Cash,49.45,1248.76,5.4,272,1,Yes,Yes,No,Yes,0
CUST00803,,Male,Mumbai,2020-02-03 11:00:00,24,Month-to-Month,Digital Wallet,54.46,1500.29,5.6,142,0,Yes,No,No,Yes,0
CUST04771,30.0,Female,Chennai,2020-07-17 19:00:00,4,One Year,Bank Transfer,98.1,403.26,4.5,485,1,Yes,Yes,Yes,Yes,1
CUST01739,62.0,Male,Hyderabad,2020-03-13 11:00:00,20,One Year,Digital Wallet,75.62,1387.68,3.9,79,1,Yes,Yes,Yes,Yes,0
CUST03040,49.0,Female,Bangalore,2020-05-06 16:00:00,2,One Year,Cash,59.1,107.04,8.6,195,2,No,Yes,Yes,No,0
CUST02195,34.0,Male,Mumbai,2020-04-01 11:00:00,5,Two Year,Digital Wallet,92.25,521.51,3.0,316,0,Yes,Yes,Yes,No,0
CUST00084,32.0,Female,Chennai,2020-01-04 12:00:00,4,Month-to-Month,Bank Transfer,113.16,398.2,0.2,135,0,Yes,Yes,No,Yes,1
CUST02123,38.0,Female,Bangalore,2020-03-29 11:00:00,1,Month-to-Month,Credit Card,61.39,68.28,8.7,436,0,Yes,Yes,No,Yes,0
CUST03014,34.0,Female,Delhi,2020-05-05 14:00:00,54,Month-to-Month,Digital Wallet,42.24,1983.69,3.1,425,1,Yes,Yes,Yes,No,0
CUST02533,30.0,Male,Hyderabad,2020-04-15 13:00:00,1,Month-to-Month,Cash,85.29,83.86,2.3,408,0,Yes,Yes,No,Yes,0
CUST01871,39.0,Female,Chennai,2020-03-18 23:00:00,1,Month-to-Month,Bank Transfer,22.28,24.22,15.3,153,1,Yes,Yes,No,No,1
CUST00106,64.0,Female,Bangalore,2020-01-05 10:00:00,2,Month-to-Month,Digital Wallet,75.25,148.75,6.6,183,2,Yes,Yes,Yes,Yes,0
CUST04637,27.0,Male,Delhi,2020-07-12 05:00:00,13,Month-to-Month,Bank Transfer,83.94,969.09,7.3,236,2,Yes,Yes,No,No,1
CUST04865,21.0,Male,Bangalore,2020-07-21 17:00:00,45,Month-to-Month,Cash,80.91,3940.89,5.8,280,0,Yes,Yes,No,No,0
CUST01578,33.0,Female,Hyderabad,2020-03-06 18:00:00,28,One Year,Digital Wallet,40.5,1270.34,8.3,292,5,Yes,Yes,Yes,Yes,0
CUST00199,28.0,Female,Bangalore,2020-01-09 07:00:00,35,Month-to-Month,Bank Transfer,79.42,3062.97,3.2,441,1,No,Yes,Yes,Yes,1
CUST04956,39.0,Male,Chennai,2020-07-25 12:00:00,31,Month-to-Month,Cash,134.31,4198.26,,427,2,Yes,Yes,No,No,1
CUST03063,35.0,Female,Mumbai,2020-05-07 15:00:00,47,Month-to-Month,Bank Transfer,49.69,2601.37,19.0,165,0,No,Yes,Yes,No,0
CUST04952,51.0,Male,Bangalore,2020-07-25 08:00:00,72,Month-to-Month,Cash,46.72,3350.39,14.2,366,2,No,Yes,Yes,No,0
CUST04238,59.0,Female,Hyderabad,2020-06-25 14:00:00,1,Month-to-Month,Digital Wallet,83.71,77.42,0.4,285,1,Yes,Yes,No,Yes,0
CUST02837,61.0,Female,Hyderabad,2020-04-28 05:00:00,33,One Year,Credit Card,59.69,1916.03,21.4,328,0,Yes,Yes,No,Yes,0
CUST03127,57.0,Male,Mumbai,2020-05-10 07:00:00,26,One Year,Cash,97.67,2488.48,18.1,392,3,Yes,Yes,No,No,0
CUST02181,37.0,Female,Hyderabad,2020-03-31 21:00:00,37,One Year,Cash,59.52,2128.74,,343,1,Yes,Yes,Yes,No,0
CUST03411,37.0,Female,Mumbai,2020-05-22 03:00:00,36,Two Year,Digital Wallet,422.8427558661358,3477.26,12.3,192,2,Yes,Yes,No,No,0
CUST00881,35.0,Male,Delhi,2020-02-06 17:00:00,53,Two Year,Digital Wallet,20.29,1117.5,0.9,329,3,No,Yes,No,No,0
CUST04220,18.0,Female,Delhi,2020-06-24 20:00:00,52,Two Year,Cash,82.58,3886.92,23.4,373,1,Yes,Yes,No,No,0
CUST04567,27.0,Male,Delhi,2020-07-09 07:00:00,21,Two Year,Credit Card,109.98,2011.44,10.5,186,1,Yes,Yes,Yes,Yes,0
CUST04126,31.0,Male,Bangalore,2020-06-20 22:00:00,13,One Year,Digital Wallet,62.43,795.79,1.4,447,4,Yes,Yes,No,Yes,0
CUST00553,45.0,Male,Chennai,2020-01-24 01:00:00,8,Month-to-Month,Credit Card,44.25,361.06,10.3,375,2,Yes,Yes,No,No,0
CUST00733,21.0,Male,Bangalore,2020-01-31 13:00:00,12,One Year,Cash,423.0422797452841,1359.73,2.8,272,1,Yes,Yes,No,No,0
CUST00179,74.0,Male,Mumbai,2020-01-08 11:00:00,5,Month-to-Month,Digital Wallet,109.23,606.04,4.2,198,2,Yes,Yes,No,Yes,1
CUST00416,60.0,Male,Mumbai,2020-01-18 08:00:00,15,Month-to-Month,Digital Wallet,102.09,1716.42,4.2,244,3,Yes,Yes,No,Yes,0
CUST00079,18.0,Male,Delhi,2020-01-04 07:00:00,32,Month-to-Month,Digital Wallet,59.14,1757.48,0.1,0,1,Yes,Yes,Yes,No,0
CUST00472,23.0,Female,Mumbai,2020-01-20 16:00:00,5,Two Year,Cash,49.87,214.59,13.4,235,1,Yes,Yes,No,Yes,0
CUST00670,56.0,Female,Mumbai,2020-01-28 22:00:00,51,Two Year,Credit Card,92.91,4786.76,5.5,147,0,Yes,Yes,Yes,No,0
